age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
43,management,divorced,tertiary,b'bm8=',388,b'eWVz',no,unknown,8,may,2087,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
43,blue-collar,married,primary,b'bm8=',-192,b'eWVz',no,unknown,8,may,1120,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
37,unemployed,single,secondary,b'bm8=',381,b'eWVz',no,unknown,8,may,985,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
35,blue-collar,single,secondary,b'bm8=',40,b'eWVz',no,unknown,9,may,617,4,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
31,technician,single,tertiary,b'bm8=',22,b'eWVz',no,unknown,9,may,483,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
43,blue-collar,single,secondary,b'bm8=',3,b'eWVz',no,unknown,9,may,929,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
31,admin.,married,secondary,b'bm8=',307,b'eWVz',no,unknown,9,may,538,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
28,blue-collar,single,secondary,b'bm8=',759,b'eWVz',no,unknown,9,may,710,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
32,blue-collar,married,secondary,b'eWVz',-1,b'eWVz',no,unknown,9,may,653,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
60,technician,married,primary,b'bm8=',65,b'eWVz',no,unknown,9,may,1028,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
26,blue-collar,single,secondary,b'bm8=',82,b'eWVz',no,unknown,9,may,654,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
40,blue-collar,married,secondary,b'bm8=',10,b'eWVz',no,unknown,9,may,1692,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
33,blue-collar,divorced,primary,b'bm8=',390,b'eWVz',no,unknown,9,may,665,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
32,management,single,tertiary,b'bm8=',311,b'bm8=',no,unknown,12,may,757,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
35,blue-collar,married,primary,b'bm8=',414,b'bm8=',no,unknown,13,may,504,4,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
33,management,divorced,secondary,b'bm8=',5,b'eWVz',no,unknown,13,may,1346,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
38,management,married,tertiary,b'bm8=',119,b'eWVz',no,unknown,13,may,568,4,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
23,entrepreneur,single,primary,b'bm8=',4,b'eWVz',no,unknown,13,may,395,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
60,blue-collar,married,primary,b'bm8=',1262,b'eWVz',yes,unknown,13,may,1015,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
48,management,married,tertiary,b'bm8=',1949,b'eWVz',no,unknown,13,may,683,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
45,entrepreneur,divorced,tertiary,b'bm8=',-395,b'eWVz',no,unknown,13,may,470,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
36,blue-collar,married,secondary,b'bm8=',1165,b'eWVz',no,unknown,13,may,1001,4,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
52,management,married,unknown,b'bm8=',2240,b'eWVz',no,unknown,13,may,845,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
35,blue-collar,divorced,primary,b'bm8=',300,b'eWVz',no,unknown,13,may,945,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
43,technician,married,secondary,b'bm8=',3285,b'eWVz',no,unknown,13,may,1721,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
52,housemaid,married,secondary,b'bm8=',3923,b'eWVz',no,unknown,14,may,942,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
53,technician,divorced,primary,b'bm8=',1443,b'eWVz',no,unknown,14,may,476,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
48,blue-collar,divorced,primary,b'bm8=',24,b'eWVz',no,unknown,14,may,832,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
41,blue-collar,single,primary,b'bm8=',1618,b'eWVz',no,unknown,14,may,1553,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
39,management,divorced,tertiary,b'bm8=',517,b'eWVz',yes,unknown,14,may,1328,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
59,retired,married,secondary,b'bm8=',1521,b'eWVz',yes,unknown,14,may,1125,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
41,blue-collar,married,secondary,b'bm8=',2823,b'eWVz',no,unknown,14,may,858,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
48,blue-collar,married,secondary,b'bm8=',1405,b'eWVz',no,unknown,14,may,629,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
40,admin.,married,secondary,b'bm8=',1535,b'eWVz',no,unknown,14,may,704,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
48,blue-collar,married,secondary,b'bm8=',1596,b'eWVz',no,unknown,14,may,760,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
60,retired,married,primary,b'bm8=',1542,b'eWVz',no,unknown,14,may,930,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
40,technician,single,unknown,b'bm8=',3652,b'eWVz',no,unknown,14,may,1028,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
57,technician,married,tertiary,b'bm8=',-1,b'bm8=',no,unknown,14,may,850,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
51,blue-collar,married,secondary,b'bm8=',7180,b'eWVz',no,unknown,14,may,927,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
41,blue-collar,divorced,secondary,b'bm8=',5291,b'eWVz',no,unknown,14,may,1423,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
41,blue-collar,married,secondary,b'bm8=',1384,b'eWVz',no,unknown,15,may,1162,4,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
52,blue-collar,divorced,primary,b'bm8=',-191,b'eWVz',no,unknown,15,may,755,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
59,blue-collar,married,primary,b'bm8=',320,b'eWVz',no,unknown,15,may,695,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
44,blue-collar,married,unknown,b'bm8=',146,b'eWVz',no,unknown,15,may,483,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
49,unknown,married,primary,b'bm8=',341,b'eWVz',yes,unknown,15,may,520,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
40,services,married,primary,b'bm8=',-9,b'eWVz',no,unknown,15,may,920,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
41,admin.,married,primary,b'bm8=',-306,b'eWVz',no,unknown,15,may,500,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
44,technician,married,tertiary,b'bm8=',4580,b'eWVz',no,unknown,15,may,911,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
60,services,single,primary,b'bm8=',313,b'eWVz',no,unknown,15,may,920,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
29,management,married,tertiary,b'bm8=',10576,b'bm8=',no,unknown,15,may,1224,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
41,retired,divorced,primary,b'bm8=',-233,b'eWVz',no,unknown,15,may,1156,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
41,blue-collar,married,primary,b'bm8=',2453,b'eWVz',no,unknown,15,may,1052,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
42,technician,single,secondary,b'bm8=',1364,b'eWVz',no,unknown,15,may,1867,6,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
36,services,single,unknown,b'bm8=',281,b'eWVz',no,unknown,16,may,515,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
39,technician,married,tertiary,b'bm8=',94,b'eWVz',yes,unknown,16,may,813,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
31,self-employed,single,tertiary,b'bm8=',144,b'eWVz',no,unknown,16,may,676,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
26,blue-collar,married,secondary,b'bm8=',246,b'eWVz',no,unknown,16,may,1143,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
31,blue-collar,married,secondary,b'bm8=',92,b'eWVz',no,unknown,16,may,688,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
29,admin.,single,secondary,b'bm8=',163,b'eWVz',yes,unknown,16,may,803,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
37,services,divorced,secondary,b'bm8=',49,b'eWVz',no,unknown,16,may,619,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
33,blue-collar,single,secondary,b'bm8=',-416,b'eWVz',no,unknown,16,may,767,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
24,technician,single,secondary,b'bm8=',409,b'eWVz',no,unknown,16,may,912,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
50,admin.,divorced,secondary,b'bm8=',363,b'eWVz',no,unknown,16,may,1340,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
27,technician,single,tertiary,b'bm8=',3706,b'eWVz',no,unknown,16,may,897,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
54,management,single,tertiary,b'bm8=',4393,b'eWVz',no,unknown,16,may,1297,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
30,technician,single,secondary,b'bm8=',863,b'eWVz',no,unknown,16,may,1193,5,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
34,blue-collar,married,primary,b'bm8=',695,b'eWVz',yes,unknown,16,may,1064,4,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
37,management,single,secondary,b'bm8=',792,b'eWVz',no,unknown,16,may,1187,4,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
41,admin.,single,secondary,b'bm8=',1020,b'eWVz',no,unknown,19,may,882,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
47,blue-collar,married,secondary,b'bm8=',863,b'eWVz',no,unknown,19,may,943,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
31,admin.,married,secondary,b'bm8=',97,b'eWVz',no,unknown,19,may,607,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
31,blue-collar,married,secondary,b'bm8=',754,b'eWVz',no,unknown,19,may,1022,4,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
43,services,divorced,secondary,b'bm8=',1040,b'eWVz',no,unknown,19,may,552,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
37,management,divorced,tertiary,b'bm8=',122,b'eWVz',no,unknown,19,may,1622,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
30,technician,single,tertiary,b'bm8=',880,b'eWVz',yes,unknown,19,may,967,6,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
41,technician,married,secondary,b'bm8=',501,b'eWVz',no,unknown,19,may,579,5,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
36,blue-collar,married,secondary,b'bm8=',4438,b'eWVz',no,unknown,20,may,446,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
35,blue-collar,divorced,secondary,b'bm8=',0,b'eWVz',no,unknown,20,may,1205,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
29,services,single,secondary,b'bm8=',271,b'eWVz',no,unknown,20,may,1882,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
35,blue-collar,married,primary,b'bm8=',102,b'eWVz',no,unknown,20,may,1334,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
31,blue-collar,married,secondary,b'bm8=',2,b'eWVz',no,unknown,20,may,182,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
35,services,married,secondary,b'bm8=',4170,b'eWVz',no,unknown,20,may,1777,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
34,technician,single,secondary,b'bm8=',85,b'eWVz',no,unknown,20,may,1182,4,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
31,admin.,single,secondary,b'bm8=',431,b'eWVz',yes,unknown,20,may,1045,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
44,technician,divorced,secondary,b'bm8=',982,b'eWVz',no,unknown,20,may,650,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
36,blue-collar,married,primary,b'bm8=',408,b'eWVz',yes,unknown,20,may,1063,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
35,blue-collar,married,unknown,b'bm8=',4822,b'eWVz',no,unknown,20,may,843,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
41,blue-collar,married,primary,b'bm8=',1250,b'eWVz',no,unknown,20,may,1392,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
31,blue-collar,single,primary,b'bm8=',216,b'eWVz',no,unknown,21,may,565,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
34,blue-collar,married,secondary,b'bm8=',1207,b'eWVz',no,unknown,21,may,905,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
32,technician,married,secondary,b'bm8=',791,b'eWVz',no,unknown,21,may,783,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
36,management,married,tertiary,b'bm8=',849,b'eWVz',yes,unknown,21,may,958,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
30,blue-collar,single,secondary,b'eWVz',239,b'eWVz',no,unknown,21,may,412,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
37,technician,single,secondary,b'bm8=',1211,b'eWVz',no,unknown,21,may,795,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
36,blue-collar,married,primary,b'bm8=',599,b'eWVz',no,unknown,21,may,649,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
31,management,single,tertiary,b'bm8=',825,b'eWVz',no,unknown,21,may,506,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
27,technician,married,secondary,b'bm8=',2183,b'eWVz',yes,unknown,21,may,857,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
34,retired,married,primary,b'bm8=',4499,b'bm8=',no,unknown,21,may,1681,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
30,technician,single,tertiary,b'bm8=',1289,b'eWVz',no,unknown,21,may,1697,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
32,technician,single,tertiary,b'bm8=',4665,b'eWVz',no,unknown,21,may,860,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
37,technician,single,secondary,b'bm8=',3326,b'eWVz',no,unknown,21,may,799,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
32,blue-collar,married,secondary,b'bm8=',783,b'eWVz',no,unknown,21,may,923,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
33,blue-collar,married,secondary,b'bm8=',0,b'eWVz',no,unknown,21,may,521,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
35,blue-collar,married,primary,b'bm8=',994,b'eWVz',no,unknown,23,may,1349,8,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
35,self-employed,divorced,tertiary,b'bm8=',1354,b'eWVz',no,unknown,23,may,736,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
30,blue-collar,single,secondary,b'bm8=',239,b'eWVz',no,unknown,23,may,785,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
45,blue-collar,divorced,primary,b'bm8=',-311,b'eWVz',no,unknown,23,may,1030,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
45,admin.,married,secondary,b'bm8=',149,b'eWVz',no,unknown,23,may,893,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
33,blue-collar,married,secondary,b'bm8=',1464,b'eWVz',no,unknown,23,may,588,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
44,management,divorced,tertiary,b'bm8=',5773,b'bm8=',no,unknown,23,may,597,6,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
40,blue-collar,married,primary,b'bm8=',278,b'eWVz',no,unknown,23,may,1015,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
31,blue-collar,married,secondary,b'bm8=',2910,b'eWVz',no,unknown,23,may,1392,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
30,technician,married,tertiary,b'bm8=',541,b'eWVz',no,unknown,26,may,414,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
44,technician,divorced,secondary,b'bm8=',1262,b'eWVz',no,unknown,26,may,788,11,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
34,services,married,secondary,b'bm8=',-538,b'eWVz',no,unknown,26,may,682,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
37,blue-collar,married,secondary,b'bm8=',125,b'bm8=',no,unknown,26,may,679,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
28,self-employed,single,tertiary,b'bm8=',0,b'eWVz',no,unknown,26,may,1560,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
32,admin.,single,secondary,b'bm8=',620,b'eWVz',no,unknown,26,may,1234,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
37,blue-collar,divorced,secondary,b'bm8=',316,b'eWVz',no,unknown,26,may,642,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
34,management,married,tertiary,b'bm8=',2287,b'eWVz',no,unknown,26,may,895,4,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
38,admin.,divorced,secondary,b'bm8=',198,b'eWVz',no,unknown,26,may,431,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
28,admin.,single,secondary,b'bm8=',460,b'eWVz',no,unknown,26,may,741,6,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
31,management,divorced,tertiary,b'bm8=',1145,b'eWVz',no,unknown,26,may,1272,4,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
59,services,married,secondary,b'bm8=',-22,b'eWVz',no,unknown,26,may,748,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
24,blue-collar,married,secondary,b'bm8=',685,b'eWVz',no,unknown,26,may,896,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
26,services,single,secondary,b'bm8=',901,b'eWVz',no,unknown,26,may,764,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
59,retired,single,secondary,b'bm8=',351,b'eWVz',no,unknown,27,may,1063,5,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
30,entrepreneur,single,primary,b'bm8=',0,b'eWVz',yes,unknown,27,may,1051,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
37,admin.,married,secondary,b'bm8=',274,b'eWVz',no,unknown,27,may,731,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
30,admin.,single,secondary,b'bm8=',-213,b'eWVz',yes,unknown,27,may,751,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
25,blue-collar,married,secondary,b'bm8=',97,b'eWVz',no,unknown,27,may,709,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
44,services,divorced,secondary,b'bm8=',51,b'eWVz',yes,unknown,27,may,3094,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
29,management,married,tertiary,b'bm8=',314,b'bm8=',no,unknown,28,may,938,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
26,management,single,tertiary,b'bm8=',6840,b'eWVz',no,unknown,28,may,1560,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
26,technician,single,secondary,b'bm8=',668,b'eWVz',no,unknown,28,may,576,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
27,services,single,secondary,b'bm8=',54,b'eWVz',no,unknown,28,may,543,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
25,self-employed,single,secondary,b'bm8=',1242,b'eWVz',no,unknown,28,may,615,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
28,management,married,secondary,b'bm8=',292,b'eWVz',no,unknown,28,may,507,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
23,services,single,secondary,b'bm8=',665,b'eWVz',no,unknown,28,may,1183,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
34,management,single,tertiary,b'bm8=',1058,b'eWVz',no,unknown,28,may,864,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
28,student,single,secondary,b'bm8=',949,b'eWVz',no,unknown,28,may,1730,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
51,entrepreneur,married,unknown,b'bm8=',606,b'eWVz',no,unknown,28,may,560,9,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
35,blue-collar,married,secondary,b'bm8=',0,b'eWVz',yes,unknown,29,may,543,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
35,admin.,married,secondary,b'bm8=',404,b'eWVz',no,unknown,29,may,539,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
56,blue-collar,married,secondary,b'bm8=',249,b'eWVz',no,unknown,29,may,791,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
45,unemployed,divorced,secondary,b'bm8=',3354,b'eWVz',no,unknown,29,may,746,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
60,blue-collar,divorced,secondary,b'bm8=',0,b'eWVz',no,unknown,29,may,1207,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
56,technician,married,secondary,b'bm8=',589,b'eWVz',no,unknown,29,may,535,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
27,management,single,tertiary,b'bm8=',12956,b'eWVz',no,unknown,29,may,789,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
30,admin.,married,secondary,b'bm8=',873,b'eWVz',no,unknown,29,may,792,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
45,blue-collar,divorced,primary,b'bm8=',594,b'eWVz',no,unknown,29,may,833,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
29,blue-collar,single,secondary,b'bm8=',-20,b'eWVz',no,unknown,29,may,814,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
38,management,divorced,tertiary,b'bm8=',4692,b'eWVz',no,unknown,29,may,1363,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
30,blue-collar,married,secondary,b'bm8=',486,b'eWVz',no,unknown,29,may,1109,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
44,blue-collar,single,primary,b'bm8=',1593,b'eWVz',no,unknown,29,may,828,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
36,management,single,tertiary,b'bm8=',7606,b'eWVz',no,unknown,30,may,917,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
38,technician,married,secondary,b'bm8=',226,b'eWVz',no,unknown,30,may,762,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
36,blue-collar,single,secondary,b'bm8=',366,b'eWVz',yes,unknown,30,may,1133,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
37,management,divorced,secondary,b'bm8=',16,b'eWVz',no,unknown,30,may,638,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
35,management,single,tertiary,b'bm8=',565,b'eWVz',no,unknown,30,may,763,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
38,admin.,divorced,secondary,b'bm8=',19,b'eWVz',no,unknown,30,may,604,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
40,services,married,primary,b'bm8=',1082,b'eWVz',no,unknown,30,may,854,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
42,unemployed,divorced,secondary,b'bm8=',1713,b'eWVz',no,unknown,30,may,855,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
46,management,divorced,tertiary,b'bm8=',14481,b'eWVz',no,unknown,30,may,1269,1,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
35,technician,divorced,secondary,b'bm8=',5724,b'eWVz',no,unknown,30,may,691,10,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
34,technician,divorced,secondary,b'bm8=',1451,b'eWVz',no,unknown,30,may,1097,15,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
32,services,married,secondary,b'bm8=',-34,b'eWVz',no,unknown,30,may,1236,2,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
50,unemployed,married,secondary,b'bm8=',3674,b'eWVz',no,unknown,30,may,886,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
35,blue-collar,married,secondary,b'bm8=',698,b'eWVz',yes,unknown,30,may,1343,3,b'LTE=',b'MA==',b'dW5rbm93bg==',yes
